acidity,pH
0.12,3.41
0.12,3.41
0.12,3.41
0.16,3.35
0.16,3.34
0.18,3.28
0.18,3.28
0.18,3.28
0.18,3.22
0.18,2.89
0.18,2.89
0.18,3.33
0.18,3.37
0.18,3.33
0.18,3.28
0.19,3.29
0.19,3.32
0.2,3.3
0.2,3.53
0.2,3.32
0.21,3.07
0.21,3.07
0.21,3.25
0.21,3.22
0.21,3.23
0.21,3.36
0.22,3.39
0.22,3.41
0.22,3.41
0.22,3.47
0.22,3.61
0.22,3.39
0.23,3.5
0.23,3.14
0.23,3.21
0.23,3.23
0.23,3.41
0.24,3.32
0.24,3.15
0.24,3.15
0.24,3.18
0.24,3.21
0.24,3.25
0.24,3.14
0.24,3.39
0.24,3.47
0.24,3.12
0.24,3.14
0.24,3.22
0.24,3.22
0.25,3.42
0.25,3.27
0.25,3.18
0.25,3.44
0.25,3.38
0.25,3.52
0.25,3.4
0.26,3.2
0.26,3.12
0.26,3.21
0.26,3.21
0.26,3.21
0.26,3.29
0.26,3.18
0.26,3.18
0.26,3.13
0.26,3.4
0.26,3.33
0.26,3.33
0.26,2.98
0.26,3.15
0.26,3.26
0.26,3.26
0.27,3.25
0.27,3.16
0.27,3.2
0.27,3.2
0.27,3.28
0.27,3.22
0.27,3.2
0.27,3.17
0.27,3.4
0.27,3.19
0.27,3.15
0.27,3.16
0.27,3.26
0.27,3.38
0.28,3.16
0.28,3.3
0.28,3.11
0.28,3.32
0.28,3.2
0.28,3.12
0.28,2.98
0.28,3.25
0.28,3.04
0.28,3.33
0.28,3.33
0.28,3.26
0.28,3.26
0.28,3.15
0.28,3.18
0.28,3.26
0.28,3.26
0.28,3.25
0.28,3.3
0.28,3.36
0.28,3.28
0.28,3.39
0.28,3.39
0.29,3.25
0.29,3.41
0.29,3.48
0.29,3.04
0.29,3.31
0.29,3.05
0.29,3.18
0.29,3.28
0.29,3.26
0.29,3.26
0.29,3.22
0.29,3.39
0.29,3.33
0.29,3.27
0.29,3.39
0.29,3.31
0.3,3.44
0.3,3.11
0.3,3.2
0.3,3.2
0.3,3.31
0.3,3.15
0.3,3.39
0.3,3.39
0.3,3.27
0.3,3.26
0.3,3.01
0.3,3.01
0.3,3.27
0.3,3.14
0.3,3.44
0.3,3.3
0.31,3.32
0.31,3.32
0.31,3.26
0.31,3.36
0.31,3.36
0.31,2.88
0.31,2.86
0.31,3.26
0.31,3.14
0.31,3.12
0.31,3.03
0.31,3.27
0.31,2.94
0.31,3.24
0.31,3.31
0.31,3.22
0.31,3.31
0.31,3.31
0.31,3.4
0.31,3.31
0.31,3.41
0.31,3.22
0.31,3.02
0.31,3.02
0.31,3.33
0.31,3.15
0.31,3.42
0.31,3.39
0.31,3.34
0.31,3.39
0.32,3.04
0.32,3.38
0.32,3.28
0.32,3.28
0.32,3.22
0.32,3.22
0.32,3.23
0.32,3.05
0.32,3.32
0.32,3.17
0.32,3.27
0.32,3.15
0.32,3.43
0.32,3.14
0.32,3.28
0.32,3.28
0.32,3.36
0.32,3.2
0.32,3.2
0.32,3.33
0.32,3.42
0.32,3.42
0.32,3.29
0.33,3.37
0.33,3.33
0.33,3.29
0.33,3.26
0.33,3.26
0.33,3.3
0.33,3.12
0.33,3.3
0.33,3.3
0.33,3.36
0.33,3.3
0.33,3.38
0.33,3.18
0.33,3.29
0.33,3.3
0.33,3.32
0.33,3.1
0.33,3.3
0.33,3.23
0.33,3.35
0.34,3.68
0.34,3.68
0.34,3.34
0.34,3.22
0.34,3.05
0.34,3.12
0.34,3.18
0.34,3.19
0.34,3.32
0.34,3.19
0.34,2.94
0.34,2.94
0.34,3.3
0.34,3.44
0.34,3.2
0.34,3.34
0.34,3.52
0.34,3.19
0.34,3.45
0.34,3.45
0.34,3.37
0.34,3.38
0.34,3.35
0.34,3.11
0.34,3.21
0.34,3.27
0.34,3.23
0.34,3.18
0.34,3.36
0.34,3.35
0.35,3.17
0.35,3.35
0.35,3.42
0.35,3.26
0.35,3.15
0.35,3.15
0.35,3.2
0.35,3.12
0.35,3.32
0.35,3.27
0.35,3.21
0.35,3.21
0.35,3.43
0.35,3.15
0.35,3.26
0.35,3.23
0.35,3.4
0.35,3.23
0.35,3.27
0.35,3.27
0.35,3.38
0.35,3.36
0.36,3.41
0.36,3.39
0.36,3.23
0.36,3.23
0.36,3.17
0.36,3.04
0.36,3.04
0.36,3.57
0.36,3.57
0.36,3.56
0.36,2.98
0.36,3.47
0.36,3.47
0.36,3.47
0.36,3.3
0.36,3.3
0.36,3.31
0.36,3.44
0.36,3.36
0.36,3.36
0.36,3.2
0.36,3.2
0.36,3.38
0.36,3.14
0.36,3.2
0.36,3.46
0.36,3.46
0.36,3.4
0.36,3.4
0.36,3.4
0.36,3.4
0.36,3.23
0.36,3.4
0.36,3.4
0.36,3.18
0.36,3.47
0.36,3.24
0.36,3.37
0.37,3.57
0.37,3.04
0.37,3.34
